,ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntCoke,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
0,5524,1957,S1,Lajang,58138000.0,0,0,04-09-2012,58,635000,88000,546000,172000,88000,88000,3,8,10,4,7,0,0,0,0,0,0,3,11,1
1,2174,1954,S1,Lajang,46344000.0,1,1,08-03-2014,38,11000,1000,6000,2000,1000,6000,2,1,1,2,5,0,0,0,0,0,0,3,11,0
2,4141,1965,S1,Bertunangan,71613000.0,0,0,21-08-2013,26,426000,49000,127000,111000,21000,42000,1,8,2,10,4,0,0,0,0,0,0,3,11,0
3,6182,1984,S1,Bertunangan,26646000.0,1,0,10-02-2014,26,11000,4000,20000,10000,3000,5000,2,2,0,4,6,0,0,0,0,0,0,3,11,0
4,5324,1981,S3,Menikah,58293000.0,1,0,19-01-2014,94,173000,43000,118000,46000,27000,15000,5,5,3,6,5,0,0,0,0,0,0,3,11,0
5,7446,1967,S2,Bertunangan,62513000.0,0,1,09-09-2013,16,520000,42000,98000,0,42000,14000,2,6,4,10,6,0,0,0,0,0,0,3,11,0
6,965,1971,S1,Cerai,55635000.0,0,1,13-11-2012,34,235000,65000,164000,50000,49000,27000,4,7,3,7,6,0,0,0,0,0,0,3,11,0
7,6177,1985,S3,Menikah,33454000.0,1,0,08-05-2013,32,76000,10000,56000,3000,1000,23000,2,4,0,4,8,0,0,0,0,0,0,3,11,0
8,4855,1974,S3,Bertunangan,30351000.0,1,0,06-06-2013,19,14000,0,24000,3000,3000,2000,1,3,0,2,9,0,0,0,0,0,0,3,11,1
9,5899,1950,S3,Bertunangan,5648000.0,1,1,13-03-2014,68,28000,0,6000,1000,1000,13000,1,1,0,0,20,1,0,0,0,0,0,3,11,0
10,1994,1983,S1,Menikah,,1,0,15-11-2013,11,5000,5000,6000,0,2000,1000,1,1,0,2,7,0,0,0,0,0,0,3,11,0
11,387,1976,SMA,Menikah,7500000.0,0,0,13-11-2012,59,6000,16000,11000,11000,1000,16000,1,2,0,3,8,0,0,0,0,0,0,3,11,0
12,2125,1959,S1,Cerai,63033000.0,0,0,15-11-2013,82,194000,61000,480000,225000,112000,30000,1,3,4,8,2,0,0,0,0,0,0,3,11,0
13,8180,1952,S2,Cerai,59354000.0,1,1,15-11-2013,53,233000,2000,53000,3000,5000,14000,3,6,1,5,6,0,0,0,0,0,0,3,11,0
14,2569,1987,S1,Menikah,17323000.0,0,0,10-10-2012,38,3000,14000,17000,6000,1000,5000,1,1,0,3,8,0,0,0,0,0,0,3,11,0
15,2114,1946,S3,Lajang,82800000.0,0,0,24-11-2012,23,1006000,22000,115000,59000,68000,45000,1,7,6,12,3,0,0,1,1,0,0,3,11,1
16,9736,1980,S1,Menikah,41850000.0,1,1,24-12-2012,51,53000,5000,19000,2000,13000,4000,3,3,0,3,8,0,0,0,0,0,0,3,11,0
17,4939,1946,S1,Bertunangan,37760000.0,0,0,31-08-2012,20,84000,5000,38000,150000,12000,28000,2,4,1,6,7,0,0,0,0,0,0,3,11,0
18,6565,1949,S2,Menikah,76995000.0,0,1,28-03-2013,91,1012000,80000,498000,0,16000,176000,2,11,4,9,5,0,0,0,1,0,0,3,11,0
19,2278,1985,D3,Lajang,33812000.0,1,0,03-11-2012,86,4000,17000,19000,30000,24000,39000,2,2,1,3,6,0,0,0,0,0,0,3,11,0
20,9360,1982,S1,Menikah,37040000.0,0,0,08-08-2012,41,86000,2000,73000,69000,38000,48000,1,4,2,5,8,0,0,0,0,0,0,3,11,0
21,5376,1979,S1,Menikah,2447000.0,1,0,06-01-2013,42,1000,1000,1725000,1000,1000,1000,15,0,28,0,1,0,0,0,0,0,0,3,11,0
22,1993,1949,S3,Menikah,58607000.0,0,1,23-12-2012,63,867000,0,86000,0,0,19000,3,2,3,9,8,0,1,0,0,0,0,3,11,0
23,4047,1954,S3,Menikah,65324000.0,0,1,11-01-2014,0,384000,0,102000,21000,32000,5000,3,6,2,9,4,0,0,0,0,0,0,3,11,0
24,1409,1951,S1,Bertunangan,40689000.0,0,1,18-03-2013,69,270000,3000,27000,39000,6000,99000,7,7,1,5,8,0,0,0,0,0,0,3,11,0
25,7892,1969,S1,Lajang,18589000.0,0,0,02-01-2013,89,6000,4000,25000,15000,12000,13000,2,2,1,3,7,0,0,0,0,0,0,3,11,0
